RegCode,MsCode,IncCode,Estimate,RSE,LowerCIB,UpperCIB
R004,M003,I003,5.9,7.5,-1.6,13.3
R004,M004,I003,1.1,8,-6.9,9.2
R005,M001,I003,45882,4.3,43909,47855
R005,M002,I003,40531,4.4,38764,42297
R005,M003,I003,7.6,8,-0.3,15.6
R005,M004,I003,15.9,9.7,6.2,25.7
R006,M001,I003,47004,6.8,43828,50179
R006,M002,I003,42053,10,37843,46263
R006,M003,I003,11.6,8.9,2.7,20.5
R006,M004,I003,15.5,14.9,0.6,30.4
R007,M001,I003,42702,4.8,40672,44733
R007,M002,I003,38237,5.1,36280,40195
R007,M003,I003,2.6,4.8,-2.2,7.4
R007,M004,I003,7.4,11,-3.6,18.4
R008,M001,I003,59501,4.3,56968,62034
R008,M002,I003,50072,4.3,47940,52205
R008,M003,I003,7.3,5.3,2.1,12.6
R008,M004,I003,5,7.5,-2.4,12.5
R009,M001,I003,45850,7.9,42214,49486
R009,M002,I003,41231,6.7,38470,43991
R009,M003,I003,7.1,9.7,-2.7,16.8
R009,M004,I003,12,11.6,0.3,23.6
R010,M001,I003,48288,3.2,46731,49846
R010,M002,I003,44431,4.9,42263,46599
R010,M003,I003,3.8,4.4,-0.7,8.2
R010,M004,I003,3.9,9.9,-6,13.8
R011,M001,I003,44946,7,41788,48105
R011,M002,I003,38116,8.1,35045,41187
R011,M003,I003,3.7,8.4,-4.7,12.1
R011,M004,I003,10.6,12.2,-1.5,22.8
R012,M001,I003,44610,6.4,41740,47481
R012,M002,I003,38981,6.2,36550,41413
R012,M003,I003,0.8,7.5,-6.7,8.3
R012,M004,I003,-1.3,10.3,-11.6,9
R013,M001,I003,50164,1,49677,50651
R013,M002,I003,43125,0.8,42775,43474
R013,M003,I003,5.1,1.4,3.7,6.5
R013,M004,I003,5.1,1.5,3.6,6.6
R001,M001,I004,33333,7.2,30927,35740
R001,M002,I004,26505,8.2,24344,28666
R001,M003,I004,2.3,10.6,-8.2,12.9
R001,M004,I004,-3.6,11.9,-15.5,8.4
R002,M001,I004,42614,3,41328,43900
R002,M002,I004,35347,2.7,34379,36314
R002,M003,I004,6.7,4.2,2.5,10.9
R002,M004,I004,6.2,4.5,1.7,10.7
R003,M001,I004,35759,4.4,34172,37346
R003,M002,I004,30595,5.7,28854,32335
R003,M003,I004,5.1,6.4,-1.3,11.5
R003,M004,I004,6.7,9.3,-2.6,16
R004,M001,I004,36988,7.4,34239,39737
R004,M002,I004,31464,5.2,29822,33106
R004,M003,I004,6.9,9.2,-2.3,16.2
R004,M004,I004,7,9.2,-2.2,16.1
R005,M001,I004,37159,5.1,35267,39051
R005,M002,I004,32122,5.8,30266,33979
R005,M003,I004,4.5,9.1,-4.7,13.6
R005,M004,I004,12,9.6,2.4,21.6
R006,M001,I004,38955,7.7,35939,41972
R006,M002,I004,31618,10.3,28346,34889
R006,M003,I004,13.4,10.9,2.5,24.3
R006,M004,I004,9.8,13.1,-3.3,22.8
R007,M001,I004,34172,5.6,32272,36072
R007,M002,I004,29555,6.8,27533,31577
R007,M003,I004,2.4,6.1,-3.7,8.5
R007,M004,I004,11.3,11.9,-0.6,23.2
R008,M001,I004,47479,4.9,45171,49787
R008,M002,I004,38254,5.4,36181,40327
R008,M003,I004,7.4,6.5,0.9,13.8
R008,M004,I004,6.5,8.4,-1.9,14.9
R009,M001,I004,36807,8.4,33720,39893
R009,M002,I004,31129,6.5,29097,33162
R009,M003,I004,6.3,10.8,-4.6,17.1
R009,M004,I004,12.5,11.4,1.1,23.8
R010,M001,I004,38104,5.7,35945,40263
R010,M002,I004,34304,3.9,32981,35628
R010,M003,I004,4.4,5.6,-1.2,9.9
R010,M004,I004,8.1,6.9,1.2,15
R011,M001,I004,36081,7.4,33423,38739
R011,M002,I004,30190,7.9,27798,32582
R011,M003,I004,2.4,9.5,-7.1,11.9
R011,M004,I004,11.3,12.5,-1.2,23.8
R012,M001,I004,37408,7.6,34566,40251
R012,M002,I004,30295,8.4,27755,32834
R012,M003,I004,0.1,9,-9,9.1
R012,M004,I004,-8.6,12.2,-20.8,3.6
R013,M001,I004,39583,1.2,39093,40073
R013,M002,I004,33090,1.3,32660,33520
R013,M003,I004,5.7,1.8,3.8,7.5
R013,M004,I004,7.6,2,5.5,9.6
