MsCode,IncCode,Year,Estimate,SE,LowerCIB,UpperCIB,Flag
M001,I004B,2013,8.3,4.7,3.6,13,
M001,I004B,2014,0.8,5.2,-4.4,6,
M001,I004B,2015,5.1,5.3,-0.1,10.4,
M001,I004B,2016,-0.1,4.6,-4.6,4.5,
M001,I004B,2017,2.6,4.3,-1.7,6.9,
M001,I004B,2018,2.5,4.1,-1.6,6.6,
M001,I004B,2019,5.9,3.6,2.3,9.5,
M001,I004B,2020,3.5,2.2,1.2,5.7,
M001,I004B,2021,5.7,1.8,3.8,7.5,
M002,I001A,2007,52887,1.8,51937,53837,
M002,I001A,2008,55444,2,54322,56566,
M002,I001A,2009,58453,1.8,57392,59514,
M002,I001A,2010,58066,2.2,56780,59352,
M002,I001A,2011,58546,1.9,57447,59645,
M002,I001A,2012,60521,2.2,59220,61822,
M002,I001A,2013,63808,1.8,62663,64953,
M002,I001A,2014,65768,2.1,64395,67142,
M002,I001A,2015,69048,1.7,67874,70222,
M002,I001A,2016,72292,1.6,71151,73433,
M002,I001A,2017,74039,1.5,72892,75185,
M002,I001A,2018,79361,1.6,78130,80593,
M002,I001A,2019,82536,1.2,81511,83562,
M002,I001A,2020,84539,1.6,83227,85851,
M002,I001A,2021,89127,1.4,87849,90405,
M002,I001B,2007,,,,,NA
M002,I001B,2008,4.8,2.8,2,7.7,
M002,I001B,2009,5.4,2.9,2.6,8.3,
M002,I001B,2010,-0.7,2.8,-3.5,2.2,
M002,I001B,2011,0.8,2.9,-2.1,3.8,
M002,I001B,2012,3.4,3,0.4,6.3,
M002,I001B,2013,5.4,3,2.5,8.4,
M002,I001B,2014,3.1,2.8,0.2,5.9,
M002,I001B,2015,5,2.8,2.2,7.8,
M002,I001B,2016,4.7,2.4,2.3,7.1,
M002,I001B,2017,2.4,2.3,0.2,4.7,
M002,I001B,2018,7.2,2.3,4.8,9.5,
M002,I001B,2019,4,2,2,6,
M002,I001B,2020,2.4,2,0.4,4.5,
M002,I001B,2021,5.4,2.2,3.2,7.7,
M002,I002A,2007,43113,1.3,42538,43688,
M002,I002A,2008,45892,1.5,45225,46560,
M002,I002A,2009,48632,1.4,47943,49321,
M002,I002A,2010,49676,1.6,48856,50496,
M002,I002A,2011,50527,1.6,49743,51311,
M002,I002A,2012,52938,1.8,52003,53873,
M002,I002A,2013,55413,1.5,54608,56217,
M002,I002A,2014,56660,1.7,55695,57625,
M002,I002A,2015,59173,1.5,58304,60041,
M002,I002A,2016,61565,1.4,60679,62451,
M002,I002A,2017,62918,1.5,61986,63851,
M002,I002A,2018,66913,1.5,65935,67890,
M002,I002A,2019,70197,1.1,69426,70969,
M002,I002A,2020,71494,1.4,70501,72487,
M002,I002A,2021,74563,1.3,73627,75500,
M002,I002B,2007,,,,,NA
M002,I002B,2008,6.4,2.1,4.3,8.5,
M002,I002B,2009,6,2.2,3.8,8.1,
M002,I002B,2010,2.1,2.2,-0.1,4.4,
M002,I002B,2011,1.7,2.3,-0.6,4,
M002,I002B,2012,4.8,2.5,2.3,7.2,
M002,I002B,2013,4.7,2.4,2.3,7.1,
M002,I002B,2014,2.3,2.3,0,4.5,
M002,I002B,2015,4.4,2.3,2.1,6.8,
M002,I002B,2016,4,2.1,1.9,6.2,
M002,I002B,2017,2.2,2.1,0.1,4.3,
M002,I002B,2018,6.3,2.2,4.1,8.6,
M002,I002B,2019,4.9,1.9,3,6.8,
M002,I002B,2020,1.8,1.8,0,3.7,
M002,I002B,2021,4.3,2,2.3,6.2,
M002,I003A,2007,25303,1.7,24868,25738,
M002,I003A,2008,26934,1.5,26539,27329,
M002,I003A,2009,28688,1.5,28268,29109,
M002,I003A,2010,29084,1.4,28681,29488,
M002,I003A,2011,29339,1.4,28939,29739,
M002,I003A,2012,30548,1.8,30008,31087,
M002,I003A,2013,32249,1.8,31671,32827,
M002,I003A,2014,32919,1.6,32406,33433,
M002,I003A,2015,34442,1.3,33993,34891,
M002,I003A,2016,35664,1.4,35170,36158,
M002,I003A,2017,35592,1.2,35158,36026,
M002,I003A,2018,38153,1.3,37648,38658,
M002,I003A,2019,39543,1,39142,39945,
M002,I003A,2020,41041,1.2,40567,41515,
M002,I003A,2021,43125,0.8,42775,43474,
M002,I003B,2007,,,,,NA
M002,I003B,2008,6.4,2.4,4,8.9,
M002,I003B,2009,6.5,2.2,4.3,8.7,
M002,I003B,2010,1.4,2,-0.7,3.4,
M002,I003B,2011,0.9,2,-1.1,2.8,
M002,I003B,2012,4.1,2.3,1.8,6.4,
M002,I003B,2013,5.6,2.7,2.9,8.2,
M002,I003B,2014,2.1,2.4,-0.3,4.5,
M002,I003B,2015,4.6,2.1,2.5,6.8,
M002,I003B,2016,3.5,2,1.6,5.5,
M002,I003B,2017,-0.2,1.8,-2,1.6,
M002,I003B,2018,7.2,1.9,5.3,9.1,
M002,I003B,2019,3.6,1.7,1.9,5.3,
M002,I003B,2020,3.8,1.6,2.2,5.4,
M002,I003B,2021,5.1,1.5,3.6,6.6,
M002,I004A,2007,18951,3.8,18225,19677,
M002,I004A,2008,20170,3.1,19551,20789,
M002,I004A,2009,21916,2.6,21349,22484,
M002,I004A,2010,22199,2.6,21611,22787,
M002,I004A,2011,22006,3,21339,22674,
M002,I004A,2012,22853,2.5,22283,23422,
M002,I004A,2013,24898,2.6,24241,25555,
M002,I004A,2014,25075,3.7,24135,26015,
M002,I004A,2015,25274,2.4,24658,25891,
M002,I004A,2016,26897,2.5,26228,27567,
M002,I004A,2017,26425,3.2,25574,27276,
M002,I004A,2018,28301,2.5,27584,29018,
M002,I004A,2019,29882,1.3,29482,30282,
M002,I004A,2020,30765,1.4,30348,31181,
M002,I004A,2021,33090,1.3,32660,33520,
M002,I004B,2007,,,,,NA
M002,I004B,2008,6.4,5.2,1.2,11.7,
M002,I004B,2009,8.7,4.4,4.3,13,
M002,I004B,2010,1.3,3.8,-2.5,5,
M002,I004B,2011,-0.9,4,-4.9,3.1,
M002,I004B,2012,3.8,4.1,-0.2,7.9,
M002,I004B,2013,8.9,4,5,12.9,
M002,I004B,2014,0.7,4.6,-3.9,5.3,
M002,I004B,2015,0.8,4.5,-3.7,5.3,
M002,I004B,2016,6.4,3.7,2.7,10.1,
M002,I004B,2017,-1.8,4,-5.8,2.2,
M002,I004B,2018,7.1,4.4,2.7,11.5,
M002,I004B,2019,5.6,2.9,2.7,8.5,
M002,I004B,2020,3,2,1,4.9,
M002,I004B,2021,7.6,2,5.5,9.6,
