QuintCode,HdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q008,H003H,49152,3.6,47364,50941, 
Q001,H003I,173,5,164.4,181.6, 
Q002,H003I,71.7,8.5,65.6,77.8, 
Q003,H003I,55.4,10.9,49.3,61.5, 
Q004,H003I,53.1,9.9,47.8,58.3, 
Q005,H003I,50.4,9.5,45.6,55.1, 
Q006,H003I,403.6,1.9,395.9,411.3, 
Q007,H003I,29915,3.7,28799,31032, 
Q008,H003I,40595,2.9,39432,41757, 
Q001,H003J,95.6,17.7,78.7,112.6, 
Q002,H003J,131.2,13.9,112.9,149.4, 
Q003,H003J,151.3,12.5,132.4,170.3, 
Q004,H003J,134,13.7,115.6,152.4, 
Q005,H003J,120.5,16.2,100.9,140, 
Q006,H003J,632.6,5.7,596.8,668.5, 
Q007,H003J,45222,4.9,42992,47452, 
Q008,H003J,49122,3.1,47596,50647, 
Q001,H004A,427,6.6,398.9,455.1, 
Q002,H004A,441.3,5.8,415.9,466.8, 
Q003,H004A,514.2,6.5,480.5,547.9, 
Q004,H004A,561.2,6.9,522.3,600.2, 
Q005,H004A,583.1,5,554,612.1, 
Q006,H004A,2526.8,2.2,2471.7,2582, 
Q007,H004A,47116,1.3,46524,47708, 
Q008,H004A,52633,1.3,51933,53332, 
Q001,H004B, , , , ,S
Q002,H004B, , , , ,S
Q003,H004B, , , , ,S
Q004,H004B, , , , ,S
Q005,H004B, , , , ,S
Q006,H004B,2.1,102,0,4.2, 
Q007,H004B,36706,65.7,12578,60834, 
Q008,H004B,40008,24.5,30220,49796, 
Q001,H004C,176.2,13.3,152.8,199.5, 
Q002,H004C,265.2,8,244,286.5, 
Q003,H004C,369.1,8.3,338.4,399.7, 
Q004,H004C,417.6,9.2,379.3,455.9, 
Q005,H004C,413,6.3,387.2,438.8, 
Q006,H004C,1641,3.4,1584.5,1697.6, 
Q007,H004C,50362,2,49380,51344, 
Q008,H004C,55233,1.8,54223,56243, 
Q001,H004D,250.6,6.8,233.5,267.7, 
Q002,H004D,175.2,9.4,158.8,191.6, 
Q003,H004D,144.3,10.7,128.9,159.8, 
Q004,H004D,143.7,13,125,162.4, 
Q005,H004D,169.9,9.1,154.4,185.5, 
Q006,H004D,883.7,3.9,849.6,917.8, 
Q007,H004D,39632,3.9,38080,41184, 
Q008,H004D,47835,2.4,46676,48993, 
Q001,H005A,465.9,6.2,437.1,494.8, 
Q002,H005A,474.1,6,445.6,502.6, 
Q003,H005A,376.8,7.3,349.2,404.3, 
Q004,H005A,319.5,8.3,293.1,346, 
Q005,H005A,191.1,9.3,173.3,208.9, 
Q006,H005A,1827.4,2.5,1781.7,1873, 
Q007,H005A,37587,1.9,36860,38314, 
Q008,H005A,41502,1.5,40889,42115, 
Q001,H005B,436.3,6.1,409.8,462.8, 
Q002,H005B,452.4,6.4,423.3,481.4, 
Q003,H005B,364.1,7.5,336.7,391.6, 
Q004,H005B,306.7,8.7,279.9,333.4, 
Q005,H005B,182.6,9.9,164.5,200.6, 
Q006,H005B,1742,2.6,1696.2,1787.8, 
Q007,H005B,37797,2,37028,38566, 
Q008,H005B,41662,1.4,41060,42265, 
Q001,H005C,29.6,28.1,21.3,38, 
Q002,H005C,21.7,36.7,13.7,29.7, 
Q003,H005C,12.6,43.6,7.1,18.2, 
Q004,H005C,12.9,39.6,7.8,18, 
Q005,H005C,8.4,49.3,4.3,12.6, 
Q006,H005C,85.3,17.6,70.3,100.4, 
Q007,H005C,31435,12.3,27557,35313, 
Q008,H005C,38206,11.3,33902,42511, 
Q001,H006A,104.2,13.1,90.5,117.8, 
Q002,H006A,95.5,16.2,80,110.9, 
Q003,H006A,103.7,16,87,120.3, 
Q004,H006A,121.8,13.2,105.7,137.8, 
Q005,H006A,229,9.2,207.9,250.1, 
Q006,H006A,654,5.3,619.4,688.6, 
Q007,H006A,52948,4.9,50345,55552, 
Q008,H006A,66610,4,63917,69302, 
Q001,H006B, , , , ,S
Q002,H006B, , , , ,S
Q003,H006B, , , , ,S
Q004,H006B, , , , ,S
Q005,H006B, , , , ,S
Q006,H006B,3,71.8,0.9,5.2, 
Q007,H006B,44074,55.9,19427,68721, 
Q008,H006B,48440,50,24222,72657, 
Q001,H006C,40.4,28.1,29,51.7, 
Q002,H006C,33.8,29.4,23.9,43.8, 
Q003,H006C,45.6,27.1,33.2,57.9, 
Q004,H006C,63.4,19.9,50.8,76, 
Q005,H006C,124,13.4,107.3,140.6, 
Q006,H006C,307.2,9.7,277.6,336.9, 
Q007,H006C,58285,7.4,53991,62579, 
Q008,H006C,72047,6.6,67323,76770, 
Q001,H006D,62.8,14.7,53.6,72, 
Q002,H006D,61.3,19.7,49.2,73.3, 
Q003,H006D,57.2,19.8,45.9,68.5, 
Q004,H006D,58.1,20.4,46.3,70, 
Q005,H006D,104.3,13.4,90.4,118.3, 
Q006,H006D,343.8,7.4,318.4,369.1, 
Q007,H006D,47660,7.3,44181,51139, 
Q008,H006D,61910,5.3,58638,65183, 
Q001,H007A,54.5,17.7,44.9,64.1, 
Q002,H007A,53.1,18.9,43.1,63.2, 
Q003,H007A,34.2,20.8,27,41.3, 
Q004,H007A,24.6,31.1,17,32.3, 
Q005,H007A,26.1,30.7,18.1,34.1, 
Q006,H007A,192.5, , , ,NA
Q007,H007A,35289,8.8,32183,38396, 
Q008,H007A,42000,6.9,39105,44894, 
Q001,H007B,311.1,7.9,286.5,335.6, 
Q002,H007B,292.2,8.9,266.2,318.1, 
Q003,H007B,310.8,8.2,285.4,336.2, 
Q004,H007B,350.8,8.9,319.6,381.9, 
Q005,H007B,430.8,6.6,402.4,459.3, 
Q006,H007B,1695.6, , , ,NA
Q007,H007B,47631,3.6,45911,49351, 
Q008,H007B,54916,2.6,53473,56358, 
Q001,H007C,111.7,12.7,97.4,125.9, 
Q002,H007C,110.7,12.8,96.6,124.9, 
Q003,H007C,112.9,12.2,99.2,126.7, 
Q004,H007C,85.1,16.7,70.9,99.2, 
Q005,H007C,74.4,13.9,64.1,84.7, 
Q006,H007C,494.8, , , ,NA
Q007,H007C,40257,3.5,38858,41657, 
Q008,H007C,45254,3.6,43611,46897, 
Q001,H007D,66.8,14.7,57,76.6, 
Q002,H007D,84.9,14.3,72.8,97.1, 
Q003,H007D,66.8,14.7,57,76.6, 
Q004,H007D,65.8,15.5,55.6,76.1, 
Q005,H007D,52.2,20.8,41.4,63.1, 
Q006,H007D,336.5, , , ,NA
Q007,H007D,40467,6.5,37844,43090, 
Q008,H007D,46277,6.1,43436,49118, 
Q001,H007E,43.2,15.8,36.4,50.1, 
Q002,H007E,53.5,15.4,45.3,61.7, 
Q003,H007E,49,15.6,41.4,56.7, 
Q004,H007E,49.7,16.7,41.4,58, 
Q005,H007E,31.5,23.4,24.1,38.9, 
Q006,H007E,227, , , ,NA
Q007,H007E,41010,4.5,39167,42852, 
