QuintCode,PdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q003,P004A,670.7,5.6,632.8,708.6, 
Q004,P004A,701.8,5.5,663.5,740.1, 
Q005,P004A,785.1,4.1,752.9,817.3, 
Q006,P004A,3428,1.4,3378.7,3477.3, 
Q007,P004A,45902,1.5,45214,46589, 
Q008,P004A,53338,1.2,52722,53954, 
Q001,P004B,210.4,7.8,193.9,226.8, 
Q002,P004B,210.6,7.1,195.6,225.6, 
Q003,P004B,170.8,9.8,154,187.6, 
Q004,P004B,148.5,8.9,135.3,161.8, 
Q005,P004B,97.2,9,88.4,105.9, 
Q006,P004B,837.5,1.7,822.9,852.1, 
Q007,P004B,38143,3.2,36922,39365, 
Q008,P004B,42759,2.3,41763,43755, 
Q001,P004C,178.3,12.3,156.4,200.2, 
Q002,P004C,163.2,11.9,143.7,182.6, 
Q003,P004C,175.9,10.2,157.9,193.8, 
Q004,P004C,185.7,12.6,162.3,209.1, 
Q005,P004C,165.1,10.9,147.2,183.1, 
Q006,P004C,868.2,5.5,820.3,916.1, 
Q007,P004C,44417,3.7,42763,46071, 
Q008,P004C,48249,2.5,47034,49464, 
Q001,P004D,95,12.1,83.5,106.4, 
Q002,P004D,115.8,12.4,101.5,130.1, 
Q003,P004D,97.5,15.1,82.8,112.3, 
Q004,P004D,58.8,18.7,47.9,69.8, 
Q005,P004D,36.6,21.5,28.7,44.4, 
Q006,P004D,403.7,7,375.5,431.9, 
Q007,P004D,37518,3.5,36189,38848, 
Q008,P004D,40622,2.9,39450,41795, 
Q001,P004E,17.8,35,11.6,24.1, 
Q002,P004E,18,34.8,11.7,24.2, 
Q003,P004E,17.8,34,11.7,23.8, 
Q004,P004E,20.4,31.9,13.9,26.9, 
Q005,P004E,11.4,36.5,7.2,15.5, 
Q006,P004E,85.4,14.8,72.8,98, 
Q007,P004E,43658,9.7,39427,47889, 
Q008,P004E,45026,7.6,41600,48452, 
Q001,P004F,15.3,24.3,11.6,19, 
Q002,P004F,15.4,25.9,11.4,19.4, 
Q003,P004F,14.9,26.4,11,18.9, 
Q004,P004F,15.1,28.9,10.7,19.5, 
Q005,P004F,12.9,27.1,9.4,16.4, 
Q006,P004F,73.6,10.3,66,81.2, 
Q007,P004F,42410,7.9,39053,45767, 
Q008,P004F,46927,6.5,43882,49973, 
Q001,P005A,234.2,5.7,220.9,247.6, 
Q002,P005A,192.7,7.7,177.9,207.5, 
Q003,P005A,151.8,8.8,138.5,165.1, 
Q004,P005A,143.3,7.9,132,154.6, 
Q005,P005A,87.3,10.6,78,96.6, 
Q006,P005A,809.3,3.1,784.4,834.1, 
Q007,P005A,36912,2.4,36044,37779, 
Q008,P005A,41787,2,40967,42607, 
Q001,P005B,184.9,7,172,197.9, 
Q002,P005B,183.7,7,170.8,196.6, 
Q003,P005B,190.7,6.8,177.8,203.7, 
Q004,P005B,201.8,6.6,188.6,215.1, 
Q005,P005B,158.3,7.5,146.5,170.1, 
Q006,P005B,919.5,2.9,893.2,945.7, 
Q007,P005B,43642,2,42748,44536, 
Q008,P005B,48602,1.7,47759,49444, 
Q001,P005C,75.2,10.8,67,83.3, 
Q002,P005C,77.2,9.3,70.1,84.4, 
Q003,P005C,82.5,9.9,74.3,90.6, 
Q004,P005C,89.9,10.2,80.7,99.1, 
Q005,P005C,76.2,9.9,68.7,83.7, 
Q006,P005C,401,5,381.1,420.8, 
Q007,P005C,45248,2.5,44101,46395, 
Q008,P005C,49301,2.2,48207,50396, 
Q001,P005D,71.6,9.9,64.5,78.7, 
Q002,P005D,73.9,9,67.2,80.5, 
Q003,P005D,87.8,9.9,79.1,96.5, 
Q004,P005D,91.3,10.5,81.7,100.9, 
Q005,P005D,98.9,8.6,90.4,107.4, 
Q006,P005D,423.4,4,406.5,440.4, 
Q007,P005D,47290,2.3,46196,48384, 
Q008,P005D,53098,2.5,51765,54431, 
Q001,P005E,69.9,12.9,60.9,78.9, 
Q002,P005E,77.6,11.1,69,86.3, 
Q003,P005E,105.1,10,94.7,115.6, 
Q004,P005E,139,8.2,127.6,150.4, 
Q005,P005E,191.6,6.3,179.6,203.6, 
Q006,P005E,583.3,3.9,560.6,605.9, 
Q007,P005E,54699,2.6,53298,56100, 
Q008,P005E,61554,2.3,60146,62962, 
Q001,P005F,28.9,20.9,22.8,34.9, 
Q002,P005F,32.7,15.5,27.7,37.8, 
Q003,P005F,43.3,12.4,38,48.7, 
Q004,P005F,59.3,11.1,52.7,65.9, 
Q005,P005F,100.6,8.4,92.1,109, 
Q006,P005F,264.8,4.9,251.9,277.7, 
Q007,P005F,58369,4.2,55929,60810, 
Q008,P005F,65653,3,63693,67613, 
Q001,P005G,18.3,23.2,14,22.5, 
Q002,P005G,20.9,18.5,17.1,24.8, 
Q003,P005G,27.6,21.7,21.6,33.6, 
Q004,P005G,39,16,32.7,45.2, 
Q005,P005G,69.3,11.1,61.6,77, 
Q006,P005G,175.1,7,162.8,187.3, 
Q007,P005G,60007,4.8,57122,62891, 
Q008,P005G,68183,4.5,65123,71242, 
Q001,P005H,2.6,56.2,1.2,4.1, 
Q002,P005H,3.2,46.4,1.7,4.8, 
Q003,P005H,3.5,44.6,2,5.1, 
Q004,P005H,6.6,36.9,4.2,9, 
Q005,P005H,12.8,20.8,10.2,15.5, 
Q006,P005H,28.8,15.4,24.4,33.3, 
Q007,P005H,63264,8.7,57748,68780, 
Q008,P005H,71938,9.5,65085,78790, 
Q001,P005I,27.7,15.1,23.5,31.9, 
Q002,P005I,28.1,16.8,23.4,32.9, 
Q003,P005I,26.4,14.9,22.5,30.4, 
Q004,P005I,28.1,15.4,23.7,32.4, 
Q005,P005I,32.4,12.6,28.3,36.4, 
Q006,P005I,142.7,7.1,132.6,152.8, 
Q007,P005I,44612,5.1,42353,46872, 
Q008,P005I,52624,4.3,50368,54881, 
Q001,P005J,3.4,48.9,1.8,5.1, 
Q002,P005J,2.1,55.2,0.9,3.3, 
Q003,P005J,2.6,56.3,1.1,4, 
Q004,P005J,2.1,81.5,0.4,3.8, 
Q005,P005J,2.6,61.9,1,4.3, 
Q006,P005J,12.9,24.4,9.7,16, 
Q007,P005J,41303,27.6,29914,52691, 
Q008,P005J,50547,22.7,39084,62010, 
Q001,P005K,36.7,17.1,30.4,43, 
Q002,P005K,36.3,15.7,30.6,42, 
Q003,P005K,34.5,16.8,28.7,40.3, 
Q004,P005K,32.6,19.7,26.2,39, 
Q005,P005K,28.9,18.2,23.6,34.2, 
Q006,P005K,169,8.5,154.6,183.4, 
Q007,P005K,42049,5.7,39661,44437, 
Q008,P005K,47135,5,44760,49510, 
Q001,P006A,264.1,6.2,247.7,280.5, 
Q002,P006A,384.1,5.7,362,406.1, 
Q003,P006A,527.1,5.2,499.8,554.4, 
Q004,P006A,670.3,4.8,638.4,702.3, 
Q005,P006A,733.3,3.4,708.1,758.5, 
Q006,P006A,2578.9,0.8,2558.3,2599.4, 
Q007,P006A,52626,1.4,51897,53354, 
Q008,P006A,58912,1.1,58274,59549, 
Q001,P006B,38.4,13.2,33.3,43.4, 
Q002,P006B,30.4,14.1,26.1,34.7, 
Q003,P006B,28,17.3,23.2,32.9, 
Q004,P006B,19.1,20.4,15.2,23, 
Q005,P006B,15.1,20.5,12,18.2, 
Q006,P006B,131,5.6,123.7,138.3, 
Q007,P006B,36707,5.9,34552,38861, 
Q008,P006B,41565,4.8,39575,43556, 
Q001,P006C,450.4,4,432.2,468.5, 
Q002,P006C,313.2,5.5,296,330.5, 
Q003,P006C,190.7,6.9,177.5,203.9, 
Q004,P006C,134.3,9.1,122.1,146.6, 
Q005,P006C,104.1,9.8,93.9,114.3, 
Q006,P006C,1192.8,1.6,1173.6,1212, 
Q007,P006C,30842,2.1,30197,31488, 
Q008,P006C,37951,1.9,37225,38678, 
