MsCode,ExpCode,Year,Estimate,RSE,LowerCIB,UpperCIB,Flag
M004,E011,2009,0.7,7.3,-6.6,8,
M001,E001,2010,83.8,7.4,77.6,90,
M001,E002,2010,1.3,24.3,1,1.6,
M001,E003,2010,85.1,7.4,78.8,91.4,
M001,E004,2010,35.8,12.5,31.3,40.2,
M001,E005,2010,70.5,10.8,62.9,78.1,
M001,E006,2010,0.2,35.2,0.1,0.2,
M001,E007,2010,106.4,10.6,95.1,117.8,
M001,E008,2010,25,3.9,24,26,
M001,E009,2010,9.8,6.9,9.1,10.5,
M001,E010,2010,0.7,71.6,0.2,1.1,
M001,E011,2010,227,4.9,215.9,238.1,
M002,E001,2010,33.6, , , ,
M002,E002,2010,9.9, , , ,
M002,E003,2010,35.3, , , ,
M002,E004,2010,26.2, , , ,
M002,E005,2010,30.3, , , ,
M002,E006,2010,4.1, , , ,
M002,E007,2010,30.4, , , ,
M002,E008,2010,68, , , ,
M002,E009,2010,60.2, , , ,
M002,E010,2010,1.5, , , ,
M002,E011,2010,96.6, , , ,
M003,E001,2010,36.9, , , ,
M003,E002,2010,0.6, , , ,
M003,E003,2010,37.5, , , ,
M003,E004,2010,15.8, , , ,
M003,E005,2010,31.1, , , ,
M003,E006,2010,0.1, , , ,
M003,E007,2010,46.9, , , ,
M003,E008,2010,11, , , ,
M003,E009,2010,4.3, , , ,
M003,E010,2010,0.3, , , ,
M003,E011,2010,100, , , ,
M004,E001,2010,7,9.4,-2.4,16.4,
M004,E002,2010,-3.7,33.8,-37.5,30.1,
M004,E003,2010,6.8,9.3,-2.5,16.2,
M004,E004,2010,6,26.1,-20.1,32.2,
M004,E005,2010,-15.1,12.5,-27.6,-2.6,
M004,E006,2010,-10.6,54.3,-64.9,43.8,
M004,E007,2010,-9,14.3,-23.3,5.3,
M004,E008,2010,-0.1,5.6,-5.6,5.5,
M004,E009,2010,10,9.7,0.3,19.7,
M004,E010,2010,13.4,106.9,-93.6,120.3,
M004,E011,2010,-1.8,7.7,-9.4,5.9,
M001,E001,2011,87.2,7.7,80.5,94,
M001,E002,2011,1.6,30.9,1.1,2.1,
M001,E003,2011,88.8,7.9,81.8,95.9,
M001,E004,2011,39.2,10.2,35.2,43.2,
M001,E005,2011,81.4,8.3,74.7,88.2,
M001,E006,2011,0.3,35.7,0.2,0.3,
M001,E007,2011,120.9,7.5,111.9,130,
M001,E008,2011,27.2,5,25.8,28.5,
M001,E009,2011,10.3,5.3,9.7,10.8,
M001,E010,2011,0.7,46.1,0.4,1,
M001,E011,2011,247.9,4,238.1,257.8,
M002,E001,2011,33, , , ,
M002,E002,2011,10.5, , , ,
M002,E003,2011,34.2, , , ,
M002,E004,2011,26.3, , , ,
M002,E005,2011,32.3, , , ,
M002,E006,2011,4.8, , , ,
M002,E007,2011,32.4, , , ,
M002,E008,2011,69, , , ,
M002,E009,2011,62.2, , , ,
M002,E010,2011,1.9, , , ,
M002,E011,2011,97.6, , , ,
M003,E001,2011,35.2, , , ,
M003,E002,2011,0.6, , , ,
M003,E003,2011,35.8, , , ,
M003,E004,2011,15.8, , , ,
M003,E005,2011,32.8, , , ,
M003,E006,2011,0.1, , , ,
M003,E007,2011,48.8, , , ,
M003,E008,2011,11, , , ,
M003,E009,2011,4.2, , , ,
M003,E010,2011,0.3, , , ,
M003,E011,2011,100, , , ,
M004,E001,2011,4.1,10.3,-6.2,14.4,
M004,E002,2011,21.7,50.7,-29.1,72.4,
M004,E003,2011,4.4,10.5,-6.1,14.9,
M004,E004,2011,9.7,18.3,-8.6,28,
M004,E005,2011,15.5,15.3,0.2,30.8,
M004,E006,2011,46.8,67.1,-20.3,113.9,
M004,E007,2011,13.6,14.5,-0.9,28.1,
M004,E008,2011,8.7,6.7,2,15.4,
M004,E009,2011,4.9,8.7,-3.7,13.6,
M004,E010,2011,7.4,104,-96.6,111.4,
M004,E011,2011,9.2,6,3.2,15.2,
M001,E001,2012,92.9,6.2,87.1,98.7,
M001,E002,2012,1.6,21.3,1.3,1.9,
M001,E003,2012,94.5,6.3,88.5,100.5,
M001,E004,2012,38.4,9.5,34.8,42.1,
M001,E005,2012,73.2,8.6,66.9,79.5,
M001,E006,2012,0.2,41.1,0.1,0.3,
M001,E007,2012,111.9,8.1,102.9,120.9,
M001,E008,2012,28.5,5.1,27,29.9,
M001,E009,2012,11.8,5.6,11.1,12.5,
M001,E010,2012,1,57.1,0.4,1.6,
M001,E011,2012,247.7,4.1,237.6,257.9,
M002,E001,2012,33.7, , , ,
M002,E002,2012,11, , , ,
M002,E003,2012,34.9, , , ,
M002,E004,2012,26.2, , , ,
M002,E005,2012,31.3, , , ,
M002,E006,2012,3.7, , , ,
M002,E007,2012,31.4, , , ,
M002,E008,2012,68, , , ,
M002,E009,2012,61.9, , , ,
M002,E010,2012,2.1, , , ,
M002,E011,2012,97.2, , , ,
M003,E001,2012,37.5, , , ,
M003,E002,2012,0.6, , , ,
M003,E003,2012,38.2, , , ,
M003,E004,2012,15.5, , , ,
M003,E005,2012,29.6, , , ,
M003,E006,2012,0.1, , , ,
M003,E007,2012,45.2, , , ,
M003,E008,2012,11.5, , , ,
M003,E009,2012,4.8, , , ,
M003,E010,2012,0.4, , , ,
M003,E011,2012,100, , , ,
M004,E001,2012,6.5,10,-3.5,16.5,
M004,E002,2012,1,36.5,-35.6,37.5,
M004,E003,2012,6.4,10.1,-3.7,16.5,
M004,E004,2012,-2,14.7,-16.8,12.7,
M004,E005,2012,-10.1,9.7,-19.8,-0.4,
M004,E006,2012,-5.7,51.2,-56.9,45.6,
M004,E007,2012,-7.5,10,-17.4,2.5,
M004,E008,2012,4.8,6.2,-1.5,11,
M004,E009,2012,14.7,8.4,6.2,23.1,
M004,E010,2012,44.9,106.9,-62,151.8,
M004,E011,2012,-0.1,5.2,-5.3,5.1,
M001,E001,2013,90.9,7.5,84,97.7,
M001,E002,2013,1.4,24.6,1,1.7,
M001,E003,2013,92.2,7.6,85.2,99.3,
M001,E004,2013,38.6,11.4,34.2,43,
M001,E005,2013,73.2,10.1,65.8,80.6,
M001,E006,2013,0.2,62.8,0.1,0.3,
M001,E007,2013,112,9.5,101.3,122.7,
M001,E008,2013,30.6,4.7,29.2,32.1,
M001,E009,2013,14.6,5.7,13.7,15.4,
M001,E010,2013,0.7,54.4,0.3,1.1,
M001,E011,2013,250.2,4.2,239.8,260.6,
M002,E001,2013,32.7, , , ,
M002,E002,2013,9, , , ,
M002,E003,2013,33.7, , , ,
M002,E004,2013,26.2, , , ,
M002,E005,2013,31.5, , , ,
M002,E006,2013,3, , , ,
M002,E007,2013,31.6, , , ,
M002,E008,2013,70.1, , , ,
M002,E009,2013,60.8, , , ,
M002,E010,2013,1.8, , , ,
M002,E011,2013,97.3, , , ,
M003,E001,2013,36.3, , , ,
M003,E002,2013,0.5, , , ,
M003,E003,2013,36.9, , , ,
M003,E004,2013,15.4, , , ,
M003,E005,2013,29.3, , , ,
M003,E006,2013,0.1, , , ,
M003,E007,2013,44.8, , , ,
M003,E008,2013,12.2, , , ,
M003,E009,2013,5.8, , , ,
M003,E010,2013,0.3, , , ,
M003,E011,2013,100, , , ,
M004,E001,2013,-2.2,9.5,-11.7,7.3,
M004,E002,2013,-15.1,28.8,-43.9,13.7,
M004,E003,2013,-2.4,9.6,-12,7.2,
M004,E004,2013,0.5,14.1,-13.6,14.6,
M004,E005,2013,0,12.7,-12.7,12.7,
M004,E006,2013,-27.5,56.4,-83.9,28.9,
M004,E007,2013,0.1,11.8,-11.6,11.9,
M004,E008,2013,7.5,5.8,1.7,13.3,
M004,E009,2013,23.3,10.2,13.1,33.6,
M004,E010,2013,-27,35,-62,8,
M004,E011,2013,1,5.2,-4.2,6.2,
M001,E001,2014,99,7.3,91.8,106.3,
M001,E002,2014,1.5,22.9,1.1,1.8,
M001,E003,2014,100.5,7.3,93.1,107.9,
M001,E004,2014,45.5,10.1,40.9,50.1,
M001,E005,2014,78.3,9.2,71.1,85.5,
M001,E006,2014,0.1,42,0.1,0.2,
M001,E007,2014,123.9,8.8,113,134.8,
M001,E008,2014,31.9,4.3,30.6,33.3,
M001,E009,2014,15.6,6.2,14.7,16.6,
M001,E010,2014,1.8,64,0.7,3,
M001,E011,2014,273.8,4.5,261.6,286.1,
M002,E001,2014,33.6, , , ,
M002,E002,2014,9.8, , , ,
M002,E003,2014,34.8, , , ,
M002,E004,2014,26.9, , , ,
M002,E005,2014,31.7, , , ,
M002,E006,2014,2.3, , , ,
M002,E007,2014,31.9, , , ,
M002,E008,2014,67.4, , , ,
M002,E009,2014,59.9, , , ,
M002,E010,2014,1.9, , , ,
M002,E011,2014,96.4, , , ,
M003,E001,2014,36.2, , , ,
M003,E002,2014,0.5, , , ,
M003,E003,2014,36.7, , , ,
M003,E004,2014,16.6, , , ,
M003,E005,2014,28.6, , , ,
M003,E006,2014,0, , , ,
M003,E007,2014,45.3, , , ,
M003,E008,2014,11.7, , , ,
M003,E009,2014,5.7, , , ,
M003,E010,2014,0.7, , , ,
M003,E011,2014,100, , , ,
M004,E001,2014,9,10.7,-1.7,19.7,
M004,E002,2014,8.9,38,-29.2,46.9,
M004,E003,2014,9,10.8,-1.8,19.8,
M004,E004,2014,17.8,17.9,-0.1,35.6,
M004,E005,2014,6.9,14.9,-7.9,21.8,
M004,E006,2014,-27.7,62.3,-90,34.6,
M004,E007,2014,10.6,14.6,-4,25.2,
M004,E008,2014,4.2,6.8,-2.6,11,
M004,E009,2014,7.4,8.9,-1.5,16.2,
M004,E010,2014,144.7,217.7,-73,362.4,
M004,E011,2014,9.4,6.9,2.5,16.4,
M001,E001,2015,103.6,5.4,98,109.2,
M001,E002,2015,1.6,18.7,1.3,1.9,
M001,E003,2015,105.2,5.4,99.5,110.9,
M001,E004,2015,44.8,9,40.8,48.8,
M001,E005,2015,84.5,6.8,78.8,90.3,
M001,E006,2015,0.1,56.9,0.1,0.2,
M001,E007,2015,129.5,6.7,120.8,138.2,
M001,E008,2015,32.8,3.5,31.6,34,
M001,E009,2015,17.1,4.6,16.3,17.9,
M001,E010,2015,1.7,43.9,0.9,2.4,
M001,E011,2015,286.2,3.1,277.2,295.1,
M002,E001,2015,33.8, , , ,
M002,E002,2015,9.6, , , ,
M002,E003,2015,35, , , ,
M002,E004,2015,27.3, , , ,
M002,E005,2015,32.2, , , ,
M002,E006,2015,2, , , ,
M002,E007,2015,32.3, , , ,
M002,E008,2015,68.8, , , ,
M002,E009,2015,59.5, , , ,
M002,E010,2015,2.1, , , ,
M002,E011,2015,96.9, , , ,
M003,E001,2015,36.2, , , ,
M003,E002,2015,0.5, , , ,
M003,E003,2015,36.8, , , ,
M003,E004,2015,15.7, , , ,
M003,E005,2015,29.5, , , ,
M003,E006,2015,0, , , ,
M003,E007,2015,45.2, , , ,
M003,E008,2015,11.5, , , ,
M003,E009,2015,6, , , ,
M003,E010,2015,0.6, , , ,
M003,E011,2015,100, , , ,
M004,E001,2015,4.6,8.9,-4.3,13.5,
M004,E002,2015,6,29.7,-23.7,35.7,
M004,E003,2015,4.6,8.9,-4.2,13.5,
M004,E004,2015,-1.6,12.8,-14.4,11.3,
M004,E005,2015,8,12.9,-4.9,20.9,
M004,E006,2015,1,75.5,-74.5,76.4,
M004,E007,2015,4.5,11.8,-7.3,16.2,
M004,E008,2015,2.7,5.5,-2.8,8.3,
M004,E009,2015,9.1,8.6,0.5,17.7,
M004,E010,2015,-8.4,77.3,-85.7,68.9,
M004,E011,2015,4.5,5.6,-1.1,10.1,
M001,E001,2016,98.1,7.3,90.9,105.2,
M001,E002,2016,2.2,21.9,1.7,2.7,
M001,E003,2016,100.3,7.2,93.1,107.5,
M001,E004,2016,60.2,10.7,53.8,66.6,
M001,E005,2016,91.2,10.2,81.9,100.5,
M001,E006,2016,0.5,45.2,0.3,0.8,
M001,E007,2016,151.9,9.4,137.7,166.2,
M001,E008,2016,36.9,3.3,35.7,38.1,
M001,E009,2016,18.7,5.2,17.7,19.6,
M001,E010,2016,1.7,37.6,1.1,2.4,
M001,E011,2016,309.5,4.5,295.4,323.5,
M002,E001,2016,31.2, , , ,
M002,E002,2016,9.8, , , ,
M002,E003,2016,32.7, , , ,
M002,E004,2016,30.3, , , ,
M002,E005,2016,33.5, , , ,
M002,E006,2016,4.8, , , ,
M002,E007,2016,33.7, , , ,
M002,E008,2016,70.5, , , ,
