MsCode,ExpCode,Year,Estimate,RSE,LowerCIB,UpperCIB,Flag
M001,E001,2007,219,4.7,208.8,229.2,
M001,E002,2007,11,17.8,9,12.9,
M001,E003,2007,212.9,4.8,202.7,223.1,
M001,E004,2007,114.2,11.4,101.2,127.2,
M001,E005,2007,230.3,8.4,211,249.6,
M001,E006,2007,15.1,63,5.6,24.6,
M001,E007,2007,319.5,6.9,297.5,341.4,
M001,E008,2007,33.4,4.9,31.8,35,
M001,E009,2007,14.5,6.7,13.6,15.5,
M001,E010,2007,26.6,33.1,17.8,35.4,
M001,E011,2007,209.8,4.9,199.5,220.1,
M002,E001,2007,30.3, , , ,
M002,E002,2007,9.2, , , ,
M002,E003,2007,31.6, , , ,
M002,E004,2007,26.1, , , ,
M002,E005,2007,33.9, , , ,
M002,E006,2007,5.9, , , ,
M002,E007,2007,34, , , ,
M002,E008,2007,71.9, , , ,
M002,E009,2007,64.3, , , ,
M002,E010,2007,1.9, , , ,
M002,E011,2007,100, , , ,
M003,E001,2007,31.6, , , ,
M003,E002,2007,0.5, , , ,
M003,E003,2007,32.1, , , ,
M003,E004,2007,14.2, , , ,
M003,E005,2007,37.2, , , ,
M003,E006,2007,0.4, , , ,
M003,E007,2007,51.8, , , ,
M003,E008,2007,11.4, , , ,
M003,E009,2007,4.5, , , ,
M003,E010,2007,0.2, , , ,
M003,E011,2007,100, , , ,
M004,E001,2007, , , , ,NA
M004,E002,2007, , , , ,NA
M004,E003,2007, , , , ,NA
M004,E004,2007, , , , ,NA
M004,E005,2007, , , , ,NA
M004,E006,2007, , , , ,NA
M004,E007,2007, , , , ,NA
M004,E008,2007, , , , ,NA
M004,E009,2007, , , , ,NA
M004,E010,2007, , , , ,NA
M004,E011,2007, , , , ,NA
M001,E001,2008,231.9,4.7,221.1,242.7,
M001,E002,2008,17.4,26.7,12.8,22.1,
M001,E003,2008,225.6,5.1,214.1,237.1,
M001,E004,2008,120.2,8.7,109.7,130.7,
M001,E005,2008,283.6,6.4,265.6,301.7,
M001,E006,2008,7.5,39.9,4.5,10.4,
M001,E007,2008,383.7,5.5,362.4,405,
M001,E008,2008,34.2,3.8,32.9,35.5,
M001,E009,2008,14.7,5.5,13.9,15.5,
M001,E010,2008,24.5,31.8,16.7,32.2,
M001,E011,2008,235.1,4,225.6,244.5,
M002,E001,2008,32.2, , , ,
M002,E002,2008,11.4, , , ,
M002,E003,2008,34, , , ,
M002,E004,2008,26.9, , , ,
M002,E005,2008,32.3, , , ,
M002,E006,2008,4.2, , , ,
M002,E007,2008,32.4, , , ,
M002,E008,2008,70.9, , , ,
M002,E009,2008,63.7, , , ,
M002,E010,2008,2, , , ,
M002,E011,2008,100, , , ,
M003,E001,2008,31.8, , , ,
M003,E002,2008,0.8, , , ,
M003,E003,2008,32.6, , , ,
M003,E004,2008,13.7, , , ,
M003,E005,2008,39, , , ,
M003,E006,2008,0.1, , , ,
M003,E007,2008,52.9, , , ,
M003,E008,2008,10.3, , , ,
M003,E009,2008,4, , , ,
M003,E010,2008,0.2, , , ,
M003,E011,2008,100, , , ,
M004,E001,2008,5.9,6.5,-0.5,12.4,
M004,E002,2008,58.8,46.2,12.6,105,
M004,E003,2008,6,7.3,-1.3,13.3,
M004,E004,2008,5.3,14.8,-9.5,20.1,
M004,E005,2008,23.2,12.8,10.4,36,
M004,E006,2008,-50.6,42.5,-93.1,-8.1,
M004,E007,2008,20.1,10,10.2,30.1,
M004,E008,2008,2.4,5.6,-3.3,8,
M004,E009,2008,1.1,7.1,-6,8.3,
M004,E010,2008,-8.1,41.5,-49.6,33.3,
M004,E011,2008,12,6.8,5.3,18.8,
M001,E001,2009,249.9,4.7,238.2,261.6,
M001,E002,2009,13.1,22.7,10.1,16.1,
M001,E003,2009,244.5,4.5,233.5,255.6,
M001,E004,2009,126.2,17.1,104.6,147.8,
M001,E005,2009,267.7,7.1,248.6,286.8,
M001,E006,2009,5.7,38.8,3.5,7.9,
M001,E007,2009,376.6,8.1,346,407.1,
M001,E008,2009,35.9,3.6,34.6,37.3,
M001,E009,2009,14.3,4.6,13.7,15,
M001,E010,2009,38.5,31,26.6,50.5,
M001,E011,2009,238.2,5.7,224.5,251.8,
M002,E001,2009,32.3, , , ,
M002,E002,2009,10.7, , , ,
M002,E003,2009,33.6, , , ,
M002,E004,2009,27.5, , , ,
M002,E005,2009,32, , , ,
M002,E006,2009,3.4, , , ,
M002,E007,2009,32, , , ,
M002,E008,2009,71.8, , , ,
M002,E009,2009,64.1, , , ,
M002,E010,2009,1.5, , , ,
M002,E011,2009,100, , , ,
M003,E001,2009,33.9, , , ,
M003,E002,2009,0.6, , , ,
M003,E003,2009,34.5, , , ,
M003,E004,2009,14.6, , , ,
M003,E005,2009,35.9, , , ,
M003,E006,2009,0.1, , , ,
M003,E007,2009,50.6, , , ,
M003,E008,2009,10.8, , , ,
M003,E009,2009,3.9, , , ,
M003,E010,2009,0.2, , , ,
M003,E011,2009,100, , , ,
M004,E001,2009,7.7,5.8,1.9,13.6,
M004,E002,2009,-24.8,25.6,-50.4,0.8,
M004,E003,2009,8.4,6.2,2.2,14.6,
M004,E004,2009,5,19.8,-14.8,24.7,
M004,E005,2009,-5.6,9.4,-15,3.7,
M004,E006,2009,-23.4,46.4,-69.8,23.1,
M004,E007,2009,-1.9,10,-11.9,8.1,
M004,E008,2009,5.2,4.5,0.7,9.6,
M004,E009,2009,-2.5,6.5,-9,3.9,
M004,E010,2009,57.5,48.5,9,106,
M004,E011,2009,1.3,7.3,-6,8.6,
M001,E001,2010,249.4,4.2,238.8,259.9,
M001,E002,2010,13.2,18.1,10.8,15.6,
M001,E003,2010,241.2,4.6,230,252.3,
M001,E004,2010,136.3,9.3,123.7,149,
M001,E005,2010,232.7,8.4,213.1,252.4,
M001,E006,2010,4.2,26.8,3.1,5.3,
M001,E007,2010,350.7,8.1,322.1,379.2,
