MsCode,RegCode,Year,Estimate,SE,LowerCIB,UpperCIB
M001,R001,2019,12808,9,11651,13965
M001,R002,2019,23115,2.6,22505,23724
M001,R003,2019,15170,4.1,14547,15793
M001,R004,2019,15320,8.7,13990,16650
M001,R005,2019,13106,9.6,11848,14364
M001,R006,2019,12534,8.1,11524,13544
M001,R007,2019,12809,6.5,11970,13648
M001,R008,2019,17821,4.7,16978,18664
M001,R009,2019,13035,6.9,12136,13934
M001,R010,2019,16100,9.9,14500,17700
M001,R011,2019,13139,9,11956,14322
M001,R012,2019,10331,11,9195,11466
M001,R013,2019,17324,1.7,17022,17626
M002,R001,2019,69149,7.9,63658,74639
M002,R002,2019,98322,2.5,95887,100758
M002,R003,2019,77592,5.5,73287,81896
M002,R004,2019,74191,5.5,70105,78277
M002,R005,2019,71686,4.8,68274,75097
M002,R006,2019,73399,7.4,67953,78845
M002,R007,2019,69000,5.5,65181,72818
M002,R008,2019,89476,3.8,86082,92870
M002,R009,2019,70769,6.4,66237,75302
M002,R010,2019,81015,4.7,77211,84820
M002,R011,2019,70134,20.1,56009,84259
M002,R012,2019,69939,7,65049,74828
M002,R013,2019,83406,1.5,82136,84677
M003,R001,2019,18.5,1.9,16.6,20.4
M003,R002,2019,23.5,0.7,22.8,24.2
M003,R003,2019,19.6,1.1,18.5,20.6
M003,R004,2019,20.6,1.5,19.1,22.2
M003,R005,2019,18.3,1.5,16.8,19.8
M003,R006,2019,17.1,1.8,15.3,18.9
M003,R007,2019,18.6,1.3,17.3,19.9
M003,R008,2019,19.9,1,18.9,21
M003,R009,2019,18.4,1.4,17,19.8
M003,R010,2019,19.9,2.4,17.5,22.3
M003,R011,2019,18.7,4,14.7,22.7
M003,R012,2019,14.8,1.7,13.1,16.4
M003,R013,2019,20.8,0.5,20.3,21.2
M001,R001,2020,13904,13,12095,15714
M001,R002,2020,23382,2.9,22704,24060
M001,R003,2020,15592,5.5,14730,16453
M001,R004,2020,15891,8.1,14599,17184
M001,R005,2020,11935,7.9,10993,12876
M001,R006,2020,12660,8.3,11612,13707
M001,R007,2020,13204,7.7,12192,14215
M001,R008,2020,19165,5.1,18189,20141
M001,R009,2020,13079,8.3,11993,14165
M001,R010,2020,16609,14.3,14231,18988
M001,R011,2020,13272,8.9,12097,14448
M001,R012,2020,11016,11.3,9774,12259
M001,R013,2020,17729,1.7,17426,18032
M002,R001,2020,69768,8.8,63613,75924
M002,R002,2020,99632,2.9,96747,102517
M002,R003,2020,75787,4.4,72488,79086
M002,R004,2020,76185,4.9,72474,79896
M002,R005,2020,73385,6.8,68424,78346
M002,R006,2020,72288,6.9,67289,77288
M002,R007,2020,69491,5.6,65613,73369
M002,R008,2020,96529,4.2,92435,100624
M002,R009,2020,71438,7,66463,76413
M002,R010,2020,79705,4.3,76269,83140
M002,R011,2020,72327,8.2,66421,78233
M002,R012,2020,73344,7.7,67716,78972
M002,R013,2020,84648,1.1,83682,85613
M003,R001,2020,19.9,2.3,17.7,22.2
M003,R002,2020,23.5,0.8,22.6,24.3
M003,R003,2020,20.6,1.2,19.4,21.8
M003,R004,2020,20.9,1.6,19.3,22.4
M003,R005,2020,16.3,1.1,15.1,17.4
M003,R006,2020,17.5,1.8,15.7,19.3
M003,R007,2020,19,1.5,17.5,20.5
M003,R008,2020,19.9,1.2,18.7,21
M003,R009,2020,18.3,1.8,16.5,20.1
M003,R010,2020,20.8,2.9,18,23.7
M003,R011,2020,18.4,1.9,16.4,20.3
M003,R012,2020,15,1.8,13.2,16.9
M003,R013,2020,20.9,0.4,20.5,21.4
M001,R001,2021,13230,12.5,11578,14882
M001,R002,2021,23412,3,22707,24117
M001,R003,2021,15775,5.8,14863,16686
M001,R004,2021,15787,8.9,14376,17198
M001,R005,2021,14423,6.9,13423,15422
M001,R006,2021,13089,9.5,11845,14332
M001,R007,2021,13785,5.6,13008,14561
M001,R008,2021,20516,5.5,19383,21649
M001,R009,2021,14370,10.4,12877,15862
M001,R010,2021,16759,13.1,14559,18960
M001,R011,2021,14559,10.9,12967,16151
M001,R012,2021,11440,8.8,10435,12445
M001,R013,2021,18174,2,17807,18541
M002,R001,2021,70542,6.7,65801,75283
M002,R002,2021,104562,2.6,101856,107267
M002,R003,2021,78217,3.7,75339,81095
M002,R004,2021,79567,6.3,74568,84565
M002,R005,2021,78860,4.6,75271,82448
M002,R006,2021,78202,7.1,72615,83788
M002,R007,2021,70776,4.9,67330,74221
M002,R008,2021,104610,4.3,100107,109114
M002,R009,2021,75216,7.7,69402,81029
M002,R010,2021,81313,3.6,78389,84236
M002,R011,2021,73588,7.3,68228,78948
M002,R012,2021,74055,6.6,69190,78920
M002,R013,2021,88454,0.9,87622,89286
M003,R001,2021,18.8,2.2,16.5,21
M003,R002,2021,22.4,0.7,21.7,23.1
M003,R003,2021,20.2,1.1,19.1,21.3
M003,R004,2021,19.8,1.9,17.9,21.7
M003,R005,2021,18.3,1.2,17.1,19.5
M003,R006,2021,16.7,1.6,15.2,18.3
M003,R007,2021,19.5,1.2,18.3,20.7
M003,R008,2021,19.6,1.1,18.5,20.7
M003,R009,2021,19.1,1.4,17.7,20.5
M003,R010,2021,20.6,3,17.6,23.6
M003,R011,2021,19.8,1.8,17.9,21.6
M003,R012,2021,15.4,1.5,14,16.9
M003,R013,2021,20.5,0.4,20.1,21
